iter	Passed	Remaining
0	90	90267
1	91	45803
2	93	30960
3	94	23513
4	95	19065
5	97	16136
6	98	14033
7	100	12420
8	101	11160
9	102	10158
10	103	9334
11	105	8668
12	106	8099
13	107	7605
14	109	7182
15	110	6811
16	112	6484
17	113	6197
18	114	5934
19	116	5704
20	117	5487
21	119	5291
22	120	5130
23	122	4976
24	123	4826
25	125	4684
26	126	4552
27	127	4443
28	129	4328
29	130	4219
30	131	4119
31	133	4031
32	134	3947
33	136	3865
34	137	3787
35	138	3714
36	139	3642
37	141	3575
38	142	3517
39	143	3455
40	145	3396
41	146	3341
42	147	3288
43	148	3237
44	150	3191
45	151	3146
46	153	3103
47	154	3062
48	155	3023
49	157	2987
50	158	2951
51	160	2921
52	161	2886
53	162	2852
54	164	2819
55	165	2790
56	166	2759
57	168	2736
58	169	2710
59	171	2685
60	172	2661
61	174	2634
62	175	2609
63	176	2584
64	178	2560
65	179	2538
66	180	2514
67	181	2485
68	182	2464
69	183	2442
70	185	2422
71	186	2402
72	187	2382
73	188	2363
74	190	2345
75	191	2327
76	192	2308
77	193	2290
78	195	2273
79	196	2256
80	197	2240
81	198	2224
82	200	2209
83	201	2194
84	202	2175
85	203	2160
86	204	2143
87	205	2130
88	206	2116
89	208	2103
90	209	2089
91	210	2076
92	211	2063
93	212	2052
94	214	2040
95	215	2027
96	216	2016
97	217	2005
98	219	1993
99	220	1983
100	221	1972
101	222	1956
102	223	1947
103	224	1937
104	226	1927
105	227	1916
106	228	1906
107	229	1897
108	231	1889
109	232	1880
110	233	1871
111	234	1862
112	236	1853
113	237	1845
114	238	1838
115	240	1829
116	241	1821
117	242	1812
118	243	1803
119	244	1795
120	246	1788
121	247	1781
122	248	1770
123	249	1762
124	250	1755
125	252	1748
126	253	1741
127	254	1731
128	255	1723
129	256	1716
130	257	1710
131	259	1705
132	260	1700
133	262	1693
134	263	1688
135	265	1683
136	266	1678
137	267	1672
138	269	1667
139	270	1662
140	271	1655
141	273	1649
142	274	1644
143	275	1638
144	277	1633
145	278	1628
146	279	1623
147	281	1618
148	282	1613
149	283	1608
150	285	1602
151	286	1597
152	287	1592
153	288	1587
154	290	1582
155	291	1577
156	293	1573
157	294	1568
158	295	1564
159	297	1560
160	298	1555
161	299	1551
162	301	1546
163	302	1542
164	303	1537
165	305	1533
166	306	1528
167	307	1524
168	309	1520
169	310	1515
170	311	1511
171	313	1506
172	314	1502
173	315	1499
174	317	1495
175	318	1491
176	320	1488
177	321	1485
178	323	1481
179	324	1478
180	325	1470
181	326	1467
182	327	1463
183	329	1459
184	330	1456
185	331	1452
186	333	1449
187	334	1445
188	335	1441
189	337	1437
190	338	1434
191	340	1431
192	341	1427
193	342	1423
194	343	1419
195	345	1416
196	346	1413
197	347	1409
198	349	1406
199	351	1404
200	352	1401
201	354	1399
202	355	1396
203	357	1394
204	358	1391
205	360	1389
206	362	1386
207	363	1383
208	364	1380
209	366	1378
210	367	1375
211	369	1372
212	370	1369
213	372	1367
214	374	1365
215	375	1362
216	377	1360
217	378	1357
218	380	1355
219	381	1352
220	382	1349
221	384	1346
222	385	1342
223	386	1339
224	388	1337
225	389	1335
226	391	1332
227	392	1329
228	393	1326
229	395	1323
230	396	1320
231	398	1318
232	399	1315
233	401	1312
234	403	1312
235	404	1310
236	406	1309
237	407	1306
238	409	1303
239	411	1302
240	412	1299
241	414	1296
242	415	1295
243	417	1294
244	419	1291
245	420	1289
246	422	1287
247	423	1284
248	425	1283
249	427	1281
250	429	1281
251	430	1278
252	431	1275
253	433	1273
254	435	1271
255	436	1268
256	437	1266
257	439	1263
258	441	1262
259	442	1259
260	444	1257
261	445	1255
262	447	1254
263	449	1253
264	451	1251
265	452	1249
266	455	1249
267	457	1248
268	459	1248
269	460	1246
270	462	1245
271	464	1243
272	465	1240
273	467	1238
274	468	1235
275	470	1233
276	471	1230
277	473	1228
278	474	1226
279	476	1224
280	477	1222
281	479	1221
282	481	1219
283	482	1217
284	484	1215
285	486	1213
286	487	1210
287	489	1209
288	490	1207
289	492	1205
290	493	1203
291	495	1201
292	496	1199
293	498	1196
294	499	1194
295	501	1193
296	503	1192
297	505	1190
298	507	1189
299	509	1187
300	511	1186
301	512	1184
302	514	1182
303	515	1181
304	517	1179
305	519	1178
306	521	1176
307	522	1174
308	524	1172
309	526	1171
310	528	1169
311	529	1168
312	531	1165
313	532	1163
314	534	1161
315	535	1159
316	537	1157
317	538	1155
318	540	1154
319	542	1152
320	543	1150
321	545	1149
322	547	1147
323	549	1146
324	551	1144
325	553	1144
326	555	1143
327	557	1141
328	558	1139
329	560	1137
330	561	1134
331	562	1132
332	564	1129
333	565	1127
334	566	1125
335	568	1122
336	569	1120
337	570	1117
338	572	1115
339	573	1113
340	574	1110
341	576	1108
342	577	1106
343	578	1104
344	580	1101
345	581	1099
346	583	1097
347	584	1095
348	586	1093
349	587	1091
350	589	1089
351	590	1087
352	592	1085
353	593	1083
354	595	1081
355	596	1078
356	597	1077
357	599	1074
358	600	1072
359	601	1070
360	603	1067
361	604	1065
362	605	1063
363	607	1060
364	608	1058
365	609	1056
366	611	1054
367	612	1052
368	614	1050
369	615	1047
370	616	1045
371	617	1043
372	619	1040
373	620	1038
374	622	1036
375	623	1034
376	624	1032
377	625	1029
378	626	1027
379	628	1024
380	629	1022
381	630	1020
382	631	1018
383	633	1015
384	634	1013
385	636	1011
386	637	1009
387	638	1006
388	639	1004
389	640	1002
390	641	999
391	643	997
392	644	995
393	645	993
394	646	990
395	647	988
396	649	986
397	650	984
398	651	981
399	653	979
400	654	977
401	655	975
402	656	973
403	658	971
404	659	969
405	661	967
406	662	965
407	663	962
408	664	960
409	666	958
410	667	956
411	668	954
412	670	952
413	671	950
414	672	948
415	674	946
416	675	944
417	676	941
418	677	939
419	678	937
420	679	935
421	681	932
422	682	930
423	683	928
424	684	925
425	685	923
426	687	922
427	688	919
428	689	917
429	690	915
430	692	913
431	693	911
432	694	909
433	696	907
434	697	906
435	698	904
436	700	902
437	701	900
438	702	898
439	703	895
440	705	893
441	706	891
442	707	889
443	708	887
444	709	885
445	711	883
446	712	881
447	713	878
448	714	876
449	715	874
450	716	872
451	718	870
452	719	869
453	720	866
454	722	865
455	723	863
456	724	861
457	726	859
458	727	857
459	728	855
460	729	853
461	731	851
462	732	849
463	733	847
464	734	845
465	735	843
466	737	841
467	738	839
468	739	837
469	741	835
470	742	833
471	743	831
472	744	829
473	745	827
474	747	825
475	748	823
476	749	821
477	750	819
478	752	818
479	753	816
480	754	814
481	756	812
482	757	810
483	758	808
484	760	807
485	761	805
486	762	803
487	763	801
488	764	799
489	766	797
490	767	795
491	768	793
492	769	791
493	770	789
494	772	787
495	773	785
496	774	783
497	775	781
498	776	779
499	777	777
500	778	775
501	779	773
502	781	771
503	782	769
504	783	767
505	784	765
506	785	764
507	787	762
508	788	760
509	789	758
510	790	756
511	791	754
512	792	752
513	793	750
514	794	748
515	796	746
516	797	744
517	798	742
518	799	740
519	800	739
520	801	737
521	802	735
522	804	733
523	805	731
524	806	729
525	807	727
526	808	725
527	809	724
528	811	722
529	812	720
530	813	718
531	814	716
532	815	714
533	816	712
534	817	710
535	819	709
536	820	707
537	821	705
538	822	703
539	823	701
540	825	699
541	826	698
542	827	696
543	828	694
544	829	692
545	830	690
546	831	688
547	833	687
548	834	685
549	835	683
550	836	681
551	837	679
552	838	678
553	840	676
554	841	674
555	842	672
556	843	671
557	844	669
558	846	667
559	847	665
560	848	663
561	849	662
562	850	660
563	851	658
564	852	656
565	854	654
566	855	653
567	856	651
568	857	649
569	858	647
570	860	646
571	861	644
572	862	642
573	863	640
574	864	639
575	865	637
576	867	635
577	868	634
578	869	632
579	870	630
580	871	628
581	872	626
582	874	625
583	875	623
584	876	621
585	877	620
586	878	618
587	879	616
588	881	614
589	882	613
590	883	611
591	885	609
592	886	608
593	887	606
594	888	604
595	889	603
596	890	601
597	891	599
598	893	597
599	894	596
600	895	594
601	896	592
602	898	591
603	899	589
604	900	588
605	901	586
606	903	584
607	904	583
608	905	581
609	907	579
610	908	578
611	909	576
612	911	575
613	912	573
614	913	571
615	914	570
616	916	568
617	917	567
618	918	565
619	919	563
620	921	562
621	922	560
622	923	558
623	924	557
624	925	555
625	926	553
626	927	551
627	929	550
628	930	548
629	931	547
630	932	545
631	934	543
632	935	542
633	936	540
634	938	539
635	939	537
636	940	536
637	942	534
638	943	532
639	944	531
640	945	529
641	947	528
642	948	526
643	949	524
644	951	523
645	952	521
646	953	520
647	954	518
648	956	517
649	957	515
650	958	513
651	960	512
652	961	510
653	962	509
654	964	507
655	965	506
656	966	504
657	967	503
658	969	501
659	970	499
660	971	498
661	972	496
662	974	495
663	975	493
664	976	491
665	977	490
666	978	488
667	980	487
668	981	485
669	982	484
670	983	482
671	985	480
672	986	479
673	987	477
674	988	476
675	989	474
676	991	472
677	992	471
678	993	469
679	995	468
680	996	466
681	997	465
682	998	463
683	1000	462
684	1001	460
685	1002	458
686	1003	457
687	1004	455
688	1006	454
689	1007	452
690	1008	451
691	1010	449
692	1011	448
693	1012	446
694	1013	444
695	1015	443
696	1016	442
697	1018	440
698	1019	439
699	1020	437
700	1022	436
701	1023	434
702	1025	433
703	1026	431
704	1027	430
705	1028	428
706	1030	426
707	1031	425
708	1032	423
709	1034	422
710	1035	420
711	1036	419
712	1038	417
713	1039	416
714	1040	414
715	1042	413
716	1043	411
717	1045	410
718	1046	409
719	1047	407
720	1049	406
721	1050	404
722	1051	403
723	1053	401
724	1054	399
725	1055	398
726	1057	396
727	1058	395
728	1059	393
729	1060	392
730	1061	390
731	1063	389
732	1064	387
733	1065	386
734	1067	384
735	1068	383
736	1069	381
737	1071	380
738	1072	378
739	1073	377
740	1074	375
741	1076	374
742	1077	372
743	1079	371
744	1080	369
745	1081	368
746	1083	366
747	1084	365
748	1085	363
749	1086	362
750	1088	360
751	1089	359
752	1090	357
753	1092	356
754	1093	354
755	1094	353
756	1096	351
757	1097	350
758	1098	348
759	1099	347
760	1101	345
761	1102	344
762	1103	342
763	1105	341
764	1106	339
765	1107	338
766	1109	336
767	1110	335
768	1111	333
769	1113	332
770	1114	330
771	1115	329
772	1116	327
773	1118	326
774	1119	325
775	1121	323
776	1122	322
777	1123	320
778	1124	319
779	1125	317
780	1127	316
781	1128	314
782	1129	313
783	1131	311
784	1132	310
785	1133	308
786	1134	307
787	1136	305
788	1137	304
789	1138	302
790	1139	301
791	1141	299
792	1142	298
793	1143	296
794	1145	295
795	1146	293
796	1147	292
797	1148	290
798	1150	289
799	1151	287
800	1152	286
801	1153	284
802	1155	283
803	1156	281
804	1157	280
805	1159	278
806	1160	277
807	1161	275
808	1162	274
809	1163	272
810	1164	271
811	1166	269
812	1167	268
813	1168	266
814	1169	265
815	1170	263
816	1171	262
817	1172	260
818	1174	259
819	1175	257
820	1176	256
821	1177	254
822	1178	253
823	1179	251
824	1181	250
825	1182	249
826	1183	247
827	1185	246
828	1186	244
829	1187	243
830	1189	241
831	1190	240
832	1191	238
833	1193	237
834	1194	235
835	1195	234
836	1196	233
837	1198	231
838	1199	230
